timestamp,x,y,z,vx,vy,vz,speed
10.8320,0.9250,-2.4750,0.2250,-0.0130,0.0118,-0.4318,0.4321
10.8320,-4.0750,-4.4750,0.5750,0.0010,0.0107,-0.4219,0.4220
10.8320,0.9250,-1.4750,0.1250,-0.0100,-0.0232,-0.3482,0.3491
10.8320,-5.9250,-4.4250,0.6750,0.1776,0.0318,0.3602,0.4028
10.8320,-7.0250,-4.4750,0.7250,0.1827,0.0389,0.2252,0.2926
10.8320,-8.3750,-3.6750,0.7750,0.0052,0.0011,0.2402,0.2403
10.8320,-0.7750,-4.4250,0.2250,0.0859,0.0156,-0.1860,0.2055
10.8320,-2.5250,-4.4250,0.3250,0.1738,0.0352,0.2836,0.3345
10.8320,-8.3750,1.7250,0.7250,-0.0002,0.0075,-0.2077,0.2078
10.8320,-4.9250,1.2250,0.4750,0.0072,-0.0042,-0.2089,0.2090
10.8320,-4.0250,2.8750,0.4750,-0.0213,-0.0483,-0.4024,0.4059
10.8320,-2.5250,-4.4250,0.1250,0.0009,-0.0289,-0.2996,0.3009
10.8320,-3.3250,4.0750,0.4750,-0.0876,-0.1765,-0.0755,0.2110
10.8320,-3.2250,-4.4250,0.0750,0.0428,-0.0338,-0.2550,0.2608
10.8320,-2.9250,4.5250,0.5250,-0.0935,0.0040,-0.3048,0.3188
10.8320,-1.4250,4.5750,0.4750,-0.0626,0.0060,0.2286,0.2371
10.8320,0.8750,1.7250,0.1750,0.0111,0.0215,0.3358,0.3367
10.8320,-2.4750,4.5750,0.5250,-0.0885,0.0040,-0.2143,0.2319
10.8320,-1.4750,4.5750,0.4750,-0.0723,0.0014,-0.2598,0.2697
10.8320,-3.7250,3.3750,0.3750,0.0460,0.0978,0.1731,0.2041
10.8320,0.0250,-2.0750,-0.0750,0.1028,0.3237,-0.0047,0.3397
10.8320,-0.2750,-2.6250,-0.0750,0.1932,0.1869,-0.0209,0.2696
10.8320,-2.4750,4.5250,0.0750,-0.0505,-0.0378,-0.2521,0.2598
10.8320,-1.2750,4.5750,-0.0250,-0.1744,-0.0213,-0.1021,0.2032
10.8320,0.9250,-3.2250,0.3250,-0.0054,0.0304,0.4077,0.4089
10.8320,-0.0250,2.0250,-0.0750,-0.0736,-0.3281,0.0014,0.3362
10.8320,-4.9250,1.2250,-0.0250,-0.0141,-0.0588,0.1939,0.2031
10.8320,-8.3750,-1.1250,0.4750,0.0050,-0.0263,0.2404,0.2419
10.8320,-4.6750,1.7250,0.1250,-0.0067,-0.0270,0.2518,0.2533
10.8320,-4.0250,2.8750,0.0250,-0.0488,-0.0653,0.1880,0.2049
10.8320,0.7750,1.8250,-0.0750,-0.1642,-0.2965,-0.0003,0.3389
10.8320,-4.6750,1.7250,0.2250,0.0071,-0.0008,0.2277,0.2278
10.8320,-4.3750,2.2250,0.1750,-0.0015,-0.0025,0.3045,0.3045
10.8320,-3.7250,3.3750,0.0750,-0.0418,-0.0364,0.2607,0.2665
10.8320,-3.4750,-4.4750,0.5750,0.0355,0.0113,-0.2033,0.2067
10.8320,-5.4750,-4.4250,0.6750,0.0173,0.0106,-0.2851,0.2858
10.8320,-4.3750,2.2250,0.2750,0.0154,0.0279,0.2665,0.2684
10.8320,-3.7250,3.3750,0.1750,-0.0019,0.0270,0.2439,0.2454
10.8320,-2.9250,4.5250,0.0750,-0.0515,-0.0374,0.2002,0.2101
10.8320,-3.7250,3.3750,0.2750,0.0292,0.0748,0.2134,0.2280
10.8320,-4.0750,-4.4750,0.4750,0.2047,0.0454,0.1450,0.2550
10.8320,-3.4250,3.8750,0.5250,-0.0300,-0.0646,-0.1948,0.2074
10.8320,-4.7750,1.5750,0.0750,-0.0047,-0.0416,-0.2387,0.2423
10.8320,-0.7750,-1.7750,-0.0750,-0.0927,-0.2927,-0.0008,0.3070
